SampleName,DT,KNN,XGBoost,Adaboost,ensembl_xgb_ada
WP_092265422.1,1.0,1.0,0.9954931,0.9191513682706189,0.9573222411326087
YP_145307.1,1.0,1.0,0.994622,0.8997531184448657,0.9471875552780359
WP_014514637.1,1.0,1.0,0.99460495,0.8967214089660827,0.9456631770744415
WP_058998822.1,1.0,1.0,0.9962231,0.877517954598952,0.9368705233390573
WP_038030409.1,1.0,1.0,0.9942771,0.8757582306552156,0.9350176751458756
WP_039457454.1,1.0,1.0,0.9942771,0.8757582306552156,0.9350176751458756
WP_034404411.1,1.0,1.0,0.99443793,0.8743802277260709,0.9344090803471052
WP_038044516.1,1.0,1.0,0.994376,0.8708385489870925,0.9326072763646552
WP_038030576.1,0.5,1.0,0.9792359,0.8789980420080515,0.9291169647677586
WP_093007728.1,1.0,1.0,0.9942771,0.859710953648147,0.9269940366423413
WP_015717132.1,1.0,1.0,0.99359286,0.8601929795197036,0.9268929189171089
WP_088257333.1,1.0,1.0,0.9938171,0.8552965447954499,0.9245568178918045
WP_080977504.1,1.0,0.9,0.9880848,0.8564706909406646,0.9222777420157424
WP_008631444.1,1.0,1.0,0.9942771,0.8478498659720113,0.9210634928042735
WP_019494780.1,1.0,0.75,0.9910814,0.8498567951628732,0.9204691058848882
WP_071678161.1,1.0,1.0,0.98756874,0.8528989151670185,0.9202338256216868
WP_045834967.1,1.0,1.0,0.9925182,0.8314828310079267,0.9120005087885703
WP_031194042.1,1.0,1.0,0.9902834,0.8303773749337872,0.9103304022782186
WP_071455425.1,1.0,1.0,0.9915071,0.8281083388358214,0.9098077259078552
WP_084602981.1,1.0,1.0,0.9915352,0.8237050383447155,0.9076201125561468
WP_096861749.1,1.0,1.0,0.96100914,0.8325178490814179,0.8967634969322189
WP_045054463.1,1.0,1.0,0.979297,0.7957456099784136,0.8875212961333871
WP_041438497.1,1.0,0.95,0.9718366,0.7868593034070792,0.8793479649683864
WP_055195547.1,1.0,0.4,0.9279056,0.816217808637646,0.8720617138910429
WP_030101561.1,1.0,1.0,0.9470326,0.7945441721972731,0.8707883715181006
WP_099834802.1,1.0,1.0,0.9704689,0.770748484936431,0.8706086818412319
WP_038066338.1,0.5,1.0,0.9669486,0.7639485448254415,0.8654485866255198
WP_074290364.1,1.0,1.0,0.93076617,0.7950737345177915,0.8629199498871458
WP_052287949.1,1.0,0.8500000000000001,0.8976782,0.8272614855254956,0.862469840977851
WP_076523956.1,1.0,0.8500000000000001,0.9225177,0.7948931341398737,0.8587054255122434
WP_100217698.1,1.0,0.8999999999999999,0.8616076,0.8408861183786419,0.8512468647789968
WP_056466663.1,1.0,1.0,0.90002155,0.8010219548877398,0.8505217539636453
WP_071036708.1,1.0,0.6000000000000001,0.92281497,0.7768048744045437,0.8498099198263258
WP_034385873.1,0.5,1.0,0.98131526,0.7176016821590094,0.8494584686620548
WP_009128903.1,1.0,0.8,0.9127616,0.7786018931741563,0.8456817609009667
WP_015912957.1,1.0,1.0,0.9213745,0.769488813952349,0.845431656875085
WP_011238781.1,1.0,1.0,0.89678186,0.7775927460922316,0.8371873039371528
WP_099701147.1,0.75,0.9,0.96270937,0.692113418841672,0.827411393058455
WP_015150617.1,0.5,1.0,0.93794554,0.6808308294477389,0.8093881870837174
WP_073555659.1,0.75,0.8,0.9465952,0.6623843343037885,0.8044897631296775
WP_015201773.1,0.75,0.6000000000000001,0.9299716,0.6730995163516762,0.8015355460443379
WP_088891256.1,1.0,0.7,0.8708638,0.7296755456012933,0.8002696704408749
WP_027844945.1,0.75,0.6,0.94467324,0.6557492250808103,0.8002112326327971
WP_081057482.1,1.0,0.7,0.8662649,0.7317422981305489,0.7990035889170353
WP_100990083.1,0.75,0.5,0.95906746,0.6383718446631091,0.798719654268963
WP_009456812.1,0.75,0.8,0.93149525,0.6521880084699088,0.7918416288706508
WP_102182189.1,0.75,0.8500000000000001,0.91913503,0.6559137029435409,0.7875243685139305
WP_017309810.1,0.5,0.8,0.9531367,0.6144395044658842,0.78378809348813
WP_091870084.1,1.0,0.2,0.7555752,0.8038543432641583,0.7797147616589346
WP_074487304.1,0.75,0.5499999999999999,0.88042533,0.6776655437318831,0.7790454388543144
WP_094551617.1,1.0,0.8500000000000001,0.8307356,0.7250516804654931,0.7778936521510051
WP_044451674.1,0.5,0.7,0.91797775,0.6276466407453409,0.772812195523351
WP_069133529.1,0.75,0.45,0.9418597,0.5987124658102352,0.7702860939738432
WP_015118671.1,0.5,0.6000000000000001,0.8927556,0.646137983094324,0.7694468053632326
WP_016876098.1,0.75,0.65,0.88395584,0.6539383383186401,0.7689470873073608
WP_095832385.1,1.0,0.75,0.822914,0.7054186749390792,0.7641663396324729
WP_002801241.1,0.5,0.5,0.89070636,0.6302416140291947,0.7604739871846565
WP_083862946.1,0.5,0.55,0.910054,0.6050316475427271,0.7575428377884686
WP_013500616.1,1.0,0.6,0.8194976,0.695395932414733,0.7574467588556819
WP_015157107.1,0.75,0.6,0.91435546,0.6001047672821918,0.7572301120556314
WP_017748677.1,0.5,0.95,0.9450002,0.5654038863739531,0.7552020290176651
WP_071069330.1,1.0,0.7,0.81154037,0.6958651347776941,0.7537027499984051
WP_023817613.1,0.75,0.4,0.81329095,0.6908644805663543,0.7520777171012618
WP_096534863.1,0.75,0.5,0.8913325,0.6121157484376902,0.7517241277855871
WP_099531684.1,0.75,0.8999999999999999,0.8662171,0.6226349673160781,0.744426022047245
WP_092721547.1,0.75,0.6,0.85091287,0.6291078974269219,0.7400103832017575
WP_099812941.1,0.5,1.0,0.89920133,0.5557685852841314,0.727484959403464
WP_015329024.1,0.5,0.75,0.83158034,0.6080115347888003,0.7197959378255372
WP_087527547.1,1.0,0.05,0.7144707,0.715161310609491,0.7148159975689209
WP_044264717.1,0.75,0.8999999999999999,0.732707,0.6833853217095183,0.7080461726650619
WP_081599527.1,0.5,0.8999999999999999,0.79028666,0.6166123714035964,0.7034495157989966
WP_099215415.1,0.75,0.39999999999999997,0.6898379,0.7066713841467782,0.6982546285644017
WP_082905585.1,0.75,1.0,0.7649255,0.6298312548112873,0.6973783673501017
WP_023920034.1,0.75,0.8500000000000001,0.70922846,0.6824398357789976,0.6958341458996764
WP_012575214.1,1.0,0.6,0.7904111,0.6010733244871679,0.6957422195899279
WP_090604190.1,1.0,0.4,0.66748637,0.7208501135091526,0.6941682415594927
WP_008205290.1,0.75,0.55,0.79561627,0.562058366264827,0.6788373176882301
WP_061247661.1,0.75,0.5,0.7406361,0.6160201177531323,0.6783281140294593
WP_093026608.1,0.75,0.44999999999999996,0.6727685,0.6815002266459858,0.6771343501355844
WP_075780265.1,0.75,0.5,0.6391518,0.7138874908719738,0.6765196512358527
WP_091970176.1,0.75,1.0,0.7487055,0.6032536772141989,0.6759795917694835
WP_049907365.1,0.75,0.25,0.6938602,0.6398198389660157,0.6668400060957093
WP_042383163.1,0.75,0.55,0.75447917,0.5768523786192793,0.6656657742324301
WP_049982463.1,0.75,0.4,0.6865009,0.6398198389660157,0.6631603729551453
WP_055268308.1,1.0,0.2,0.55629325,0.7675485480474538,0.6619208985888514
WP_036243660.1,0.5,0.5,0.659506,0.6571304756028695,0.6583182492665074
WP_013878483.1,0.75,0.35000000000000003,0.6865009,0.6215729351206198,0.6540369210324474
WP_010682499.1,0.75,0.95,0.6865009,0.6131494276215026,0.6498251672828887
WP_047265940.1,0.5,0.5,0.5854789,0.7131872376931427,0.6493330697781204
WP_058572808.1,0.75,0.30000000000000004,0.6671549,0.6308567312563069,0.6490058197182719
WP_089668176.1,0.75,0.25,0.6865009,0.6068127220279629,0.6466568144861189
WP_004968197.1,0.75,0.30000000000000004,0.6865009,0.6068127220279629,0.6466568144861189
WP_074796062.1,0.75,0.30000000000000004,0.65775967,0.6299084627255734,0.6438340645842222
WP_069293923.1,1.0,0.5,0.59929895,0.6829630430850621,0.641130998547536
WP_013847450.1,0.75,1.0,0.73421276,0.5412845330165901,0.6377486445867557
WP_097007364.1,0.75,0.35,0.67260253,0.6026266687288827,0.6376146015115056
WP_006054116.1,0.75,0.30000000000000004,0.6671549,0.6068127220279629,0.6369838151040998
WP_084286803.1,0.5,0.39999999999999997,0.64929193,0.6229434483623464,0.6361176904726008
WP_089230993.1,0.75,0.8500000000000001,0.68318146,0.587329355705932,0.6352554101890103
WP_085938215.1,0.75,0.8500000000000001,0.64733136,0.6199941932475501,0.6336627751249042
WP_097378604.1,0.75,0.30000000000000004,0.6775999,0.5845754514537156,0.6310876791875512
WP_079083882.1,0.75,0.8500000000000001,0.69453025,0.5643007756275283,0.629415512134748
WP_096644251.1,0.75,0.44999999999999996,0.74491966,0.4984844419806797,0.6217020498439471
WP_072761037.1,1.0,0.5,0.64800274,0.5919231523906614,0.6199629480558349
WP_099966378.1,0.75,0.8500000000000001,0.66641605,0.5726410182042908,0.619528533603946
WP_049912037.1,0.75,0.3,0.6712695,0.5559702356850931,0.6136198560494099
WP_081892299.1,0.75,0.8500000000000001,0.65769625,0.5656656660000688,0.6116809565504495
WP_076626087.1,0.75,0.8500000000000001,0.6287529,0.5945217117852725,0.6116372995171326
NP_630911.1,0.75,0.8500000000000001,0.6851678,0.5369949417545083,0.6110813656068684
WP_065061705.1,0.75,0.8500000000000001,0.693479,0.5279077591525826,0.6106933803373233
WP_079235170.1,0.75,0.4,0.67260253,0.5471953986347438,0.6098989664644361
WP_034826052.1,0.75,0.8,0.6647083,0.5516373137027971,0.6081728150144692
WP_015898277.1,0.75,0.65,0.65769625,0.5513419694304436,0.6045191082656368
WP_006090832.1,0.75,0.30000000000000004,0.6392819,0.5639313243341078,0.6016066264366919
WP_091374193.1,0.75,0.75,0.65261436,0.5419931819639351,0.5973037685256077
WP_093228074.1,0.75,0.8999999999999999,0.6023822,0.5904994532403973,0.5964408181576742
WP_077198807.1,0.75,0.5,0.5573298,0.6318345119352913,0.5945821429190922
WP_073217643.1,0.5,0.25,0.60246736,0.5850363090115963,0.5937518335619658
WP_011031225.1,0.75,0.8500000000000001,0.65135384,0.5341697159005099,0.5927617759800401
WP_015213401.1,0.5,0.55,0.6610253,0.520873672612618,0.5909494791667216
WP_049934199.1,0.75,0.25,0.63166815,0.5496493249849475,0.5906587377049524
WP_015195532.1,0.75,0.75,0.6575892,0.5219992297156126,0.589794213437213
WP_094072910.1,0.75,0.65,0.6575892,0.5219992297156126,0.589794213437213
WP_051168181.1,0.75,0.8500000000000001,0.63854545,0.5400738824317031,0.5893096679900672
WP_047589627.1,0.75,0.65,0.6575892,0.5152832658309954,0.5864362314949044
WP_052698403.1,0.75,0.35,0.5678465,0.6013514715877974,0.5845989743097526
WP_041339469.1,0.75,0.5499999999999999,0.64135283,0.5223070643511035,0.581829948334228
WP_013300197.1,0.75,0.8,0.64135283,0.520018608712528,0.5806857205149402
WP_034824194.1,0.75,0.8500000000000001,0.64135283,0.5181261119481932,0.5797394721327728
WP_089880661.1,0.75,0.30000000000000004,0.6120952,0.5451317719553523,0.5786134745644834
WP_082839051.1,0.75,0.8500000000000001,0.64135283,0.5107791046862327,0.5760659685017925
WP_058316939.1,0.75,0.2,0.630086,0.5184989184393151,0.5742924615866771
WP_089764886.1,0.75,0.30000000000000004,0.6337546,0.5050739212464012,0.5694142661308605
WP_047451873.1,0.75,0.55,0.71789813,0.4173571888140034,0.5676276596154368
WP_007044032.1,0.5,0.35,0.6088966,0.5261243080990738,0.5675104606100533
WP_027308646.1,0.25,0.39999999999999997,0.5721247,0.5581467412610299,0.5651357304403904
WP_049969002.1,0.75,0.2,0.6196399,0.4973830525118184,0.5585114630082285
WP_077117441.1,0.75,0.6,0.63879204,0.46816589394062696,0.5534789659522471
WP_065383217.1,0.75,0.5,0.6287529,0.47100791891947286,0.5498804030842329
WP_049917000.1,0.75,0.15000000000000002,0.5958582,0.5016200527725694,0.5487391345291375
WP_029630398.1,0.75,0.44999999999999996,0.62220204,0.47360312235541746,0.5479025805601856
WP_008838212.1,0.75,0.8500000000000001,0.59044147,0.5034054011349907,0.5469234332563991
WP_033435353.1,0.75,0.7,0.6175827,0.4697566179599711,0.5436696483774159
WP_006111085.1,0.75,0.25,0.5920086,0.4937965867091441,0.5429025887036931
WP_096386367.1,0.25,0.8500000000000001,0.45449087,0.6265318871818226,0.5405113787095865
WP_008691735.1,0.75,0.4,0.5874158,0.4906402329961215,0.5390280236979204
WP_024889333.1,0.75,0.05,0.6193229,0.4577178690866135,0.5385203825451683
WP_031656931.1,0.75,0.05,0.6193229,0.4577178690866135,0.5385203825451683
WP_077208232.1,0.75,0.25,0.5455544,0.5304550282960426,0.5380047138931996
WP_088347300.1,0.75,0.5,0.61807275,0.4411293416542268,0.5296010449192154
WP_030443103.1,0.75,0.65,0.6156957,0.44221639268742385,0.5289560538189927
WP_055441081.1,0.75,0.44999999999999996,0.46460786,0.5864014718280994,0.5255046682232004
WP_079365507.1,0.75,0.39999999999999997,0.59915733,0.44843294598749595,0.5237951396807596
WP_035619941.1,0.75,0.05,0.59109175,0.4522535970512048,0.5216726745517559
WP_060422788.1,0.75,0.1,0.59044147,0.45231091957441694,0.5213761924761122
