SampleName,DT,KNN,XGBoost,Adaboost,ensembl_xgb_ada
WP_050117363.1,1.0,1.0,0.9942505,0.9764683181126319,0.9853593972364765
WP_060527926.1,1.0,1.0,0.9942505,0.9759104225100055,0.9850804494351633
WP_046101283.1,1.0,1.0,0.9942505,0.9759104225100055,0.9850804494351633
WP_047361658.1,1.0,1.0,0.9942505,0.9751880574210818,0.9847192668907014
WP_045765666.1,1.0,1.0,0.9947039,0.972316664480857,0.9835102766869922
WP_090604190.1,1.0,1.0,0.9942704,0.9707287845254404,0.9824995844185582
WP_086904404.1,1.0,1.0,0.9947039,0.9699660169176917,0.9823349529054095
WP_075054206.1,1.0,1.0,0.9939353,0.970616363692351,0.9822758253455499
WP_025660140.1,1.0,0.95,0.9924343,0.9718224410336117,0.9821283819338134
WP_049724747.1,1.0,1.0,0.9948896,0.9689382639824009,0.9819139404743242
WP_060422788.1,1.0,1.0,0.9942505,0.9694153730340483,0.9818329246971846
WP_090949002.1,1.0,1.0,0.99445355,0.9686558512928041,0.9815547003389374
WP_012912354.1,1.0,0.55,0.9946393,0.9681799337018796,0.9814096055800352
WP_045124563.1,1.0,1.0,0.9948896,0.9674210057530366,0.9811553113596421
WP_033851601.1,1.0,1.0,0.9947039,0.9669058686752451,0.9808048787841863
WP_092569305.1,1.0,1.0,0.9947039,0.9666941025656105,0.980698995729369
WP_088912163.1,1.0,1.0,0.9942505,0.9669058686752451,0.9805781725177831
WP_083862946.1,1.0,0.75,0.99445355,0.9666088824504182,0.9805312159177445
WP_065383217.1,1.0,1.0,0.99273926,0.9674055145883169,0.9800723873925014
WP_085938215.1,1.0,0.95,0.99398595,0.9656003193386594,0.9797931351427336
WP_063415881.1,1.0,1.0,0.9942505,0.9650458731589272,0.9796481747596242
WP_051559024.1,1.0,0.95,0.99343884,0.9657063755630243,0.9795726077377194
WP_088347300.1,1.0,0.95,0.9935138,0.9652958581469474,0.9794048403512448
WP_062755455.1,1.0,0.95,0.99379134,0.9646148829285349,0.9792031123550755
WP_026011736.1,1.0,0.95,0.99355817,0.9642997656707635,0.9789289670410092
WP_011308723.1,1.0,1.0,0.9935138,0.9643308380804374,0.9789223303179897
WP_042383163.1,1.0,1.0,0.99445355,0.9633304921185725,0.9788920207518217
WP_058870690.1,1.0,1.0,0.9948896,0.9626907722991905,0.9787901946327191
WP_049625402.1,1.0,1.0,0.99379134,0.962795937209199,0.9782936394954076
WP_090164194.1,1.0,0.8,0.99449927,0.9618519553495003,0.9781756107485569
