SampleName,DT,KNN,XGBoost,Adaboost,ensembl_xgb_ada
WP_050117363.1,1.0,1.0,0.9823819,0.999994876343138,0.9911883783132469
WP_047361658.1,1.0,1.0,0.9823819,0.999994876343138,0.9911883783132469
WP_088912163.1,1.0,1.0,0.9823819,0.999994876343138,0.9911883783132469
WP_045124563.1,1.0,0.95,0.9823819,0.999994876343138,0.9911883783132469
WP_046101283.1,1.0,1.0,0.9823819,0.999994876343138,0.9911883783132469
WP_060422788.1,1.0,1.0,0.9823819,0.999994876343138,0.9911883783132469
WP_063415881.1,1.0,1.0,0.9816022,0.999994876343138,0.9907985341340935
WP_033851601.1,1.0,1.0,0.9816022,0.999994876343138,0.9907985341340935
WP_060527926.1,1.0,1.0,0.9816022,0.999994876343138,0.9907985341340935
WP_088347300.1,1.0,0.95,0.9815628,0.999994876343138,0.9907788347989952
WP_085938215.1,1.0,0.95,0.9810012,0.9999931749875688,0.9904971866396737
WP_075054206.1,1.0,1.0,0.9806257,0.999994876343138,0.9903102826864159
WP_090164194.1,1.0,0.8,0.9806257,0.999994876343138,0.9903102826864159
WP_087527547.1,1.0,0.95,0.9803162,0.999994876343138,0.9901555490285789
WP_058870690.1,1.0,0.95,0.9803162,0.999994876343138,0.9901555490285789
WP_084316793.1,1.0,0.8,0.9777878,0.999994876343138,0.9888913345128929
WP_074100515.1,1.0,0.8999999999999999,0.97769403,0.999994876343138,0.9888444554597771
WP_080840602.1,1.0,0.8999999999999999,0.97769403,0.999994876343138,0.9888444554597771
WP_012912354.1,1.0,0.5,0.97711134,0.999994876343138,0.988553107956115
WP_055441081.1,1.0,0.8999999999999999,0.97695374,0.9999931749875688,0.9884734599379372
WP_035063661.1,1.0,0.8999999999999999,0.97695374,0.9999931749875688,0.9884734599379372
WP_035065747.1,1.0,0.8999999999999999,0.97695374,0.9999931749875688,0.9884734599379372
WP_085789107.1,1.0,0.8999999999999999,0.97695374,0.9999931749875688,0.9884734599379372
WP_042896060.1,1.0,0.8500000000000001,0.97695374,0.9999931749875688,0.9884734599379372
WP_012575214.1,1.0,0.7,0.97695374,0.9999931749875688,0.9884734599379372
WP_026011736.1,1.0,0.8999999999999999,0.97695374,0.9999931749875688,0.9884734599379372
WP_086904404.1,1.0,1.0,0.97590744,0.999994876343138,0.9879511606485283
WP_031431988.1,1.0,1.0,0.97590744,0.999994876343138,0.9879511606485283
WP_049724747.1,1.0,1.0,0.97590744,0.999994876343138,0.9879511606485283
WP_011308723.1,1.0,1.0,0.97551787,0.999994876343138,0.9877563726694023
WP_092569305.1,1.0,1.0,0.9754247,0.999994876343138,0.9877097916395103
WP_084286803.1,1.0,0.8500000000000001,0.9751814,0.9999931749875688,0.9875872878817391
WP_090996333.1,1.0,0.7500000000000001,0.97459865,0.9999931749875688,0.9872959105757546
WP_008838212.1,1.0,0.95,0.9745268,0.9999931749875688,0.9872599987772774
WP_045765666.1,1.0,1.0,0.9741219,0.999994876343138,0.9870584022790825
WP_031656931.1,1.0,1.0,0.9741219,0.999994876343138,0.9870584022790825
WP_062480250.1,1.0,1.0,0.9741219,0.999994876343138,0.9870584022790825
WP_024889333.1,1.0,1.0,0.9741219,0.999994876343138,0.9870584022790825
WP_019497030.1,1.0,0.8999999999999999,0.97359717,0.9999931749875688,0.9867951719549966
WP_035619941.1,1.0,1.0,0.97274125,0.9999931749875688,0.9863672106055092
